,icc,pval
wavelet-HLL_glrlm_RunVariance,0.8005376008944526,0.7317177355289459
wavelet-HLL_glrlm_ShortRunEmphasis,0.8026407651189038,0.7317177355289459
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.7917694277222056,0.4698396325111389
wavelet-HLL_glszm_GrayLevelNonUniformity,0.9467305256898343,0.08593340218067169
wavelet-HLL_glszm_LargeAreaEmphasis,0.9745891145910799,0.41325296461582184
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.9132441966468524,0.8965883553028107
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.9797046001217611,0.82233826816082
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.8258327134391686,0.219833105802536
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.8116851446244229,0.6616804599761963
wavelet-HLL_glszm_SmallAreaEmphasis,0.7922386590967033,0.6276643574237823
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.8455641446229414,0.19368016719818115
wavelet-HLL_glszm_ZonePercentage,0.8324975413044811,0.9905734956264496
wavelet-HLL_glszm_ZoneVariance,0.9745970255685845,0.41325296461582184
wavelet-HLL_ngtdm_Busyness,0.7627917288752041,0.4553176909685135
wavelet-HLL_ngtdm_Contrast,0.9340202624539408,0.9905734956264496
wavelet-HLL_ngtdm_Strength,0.9313880070760422,0.9340859353542328
wavelet-LHH_firstorder_Energy,0.851977700365236,0.3607836216688156
wavelet-LHH_firstorder_Mean,0.9757174203060613,0.0692269504070282
wavelet-LHH_glcm_Imc1,0.9500471004690921,0.1775200217962265
wavelet-LHH_glcm_Imc2,0.9230397354181987,0.08593340218067169
wavelet-LHH_glcm_JointEnergy,0.7831721630877472,0.08148856461048126
wavelet-LHH_glcm_MaximumProbability,0.77123375025852,0.12253367900848389
wavelet-LHH_gldm_DependenceNonUniformity,0.948408662511226,0.1775200217962265
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.9131104918189378,0.7676084339618683
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.7940645037605054,0.3483276069164276
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.7506156857367625,0.324220210313797
wavelet-LHH_glszm_GrayLevelNonUniformity,0.9656565615227154,0.11105082929134369
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.7646154614042843,0.37350593507289886
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.8110849729803773,0.3607836216688156
wavelet-LHH_glszm_SizeZoneNonUniformity,0.9299766932605841,0.3483276069164276
